tid,type,type_id,num
201202,410101,100103,4
201203,510201,510103,0
201203,410101,100103,5
201204,510201,510104,0
201204,410101,100103,6
200901,510201,210101,0
200901,410101,100103,3
200902,510201,210102,0
200902,410101,100103,3
200903,510201,210103,0
200903,410101,100103,3
200904,510201,210104,0
200904,410101,100103,3
200905,510201,210105,0
200905,410101,100103,3
200906,510201,210106,0
200906,410101,100103,3
200907,510201,210107,0
200907,410101,100103,3
200908,510201,210108,0
200908,410101,100103,3
200909,510201,210109,0
200909,410101,100103,3
200910,510201,210110,0
200910,410101,100103,3
200911,510201,210111,0
200911,410101,100103,3
200912,510201,210112,0
200912,410101,100103,3
200913,510201,210113,0
200913,410101,100103,3
200914,510201,210114,0
200914,410101,100103,3
200915,510201,210115,0
200915,410101,100103,3
200916,510201,210116,0
200916,410101,100103,3
200917,510201,210117,0
200917,410101,100103,3
160416,510101,310101,0
160417,510101,310102,0
160418,510101,310103,0
160419,510101,310104,0
160420,510101,310105,0
160421,510101,310106,0
160422,510101,310107,0
160423,510101,310108,0
160424,510101,310109,0
160425,510101,310110,0
110104,410202,111101,0
110105,410203,110101,0
110105,410202,110101,0
110108,310101,110400,0
110108,410402,110118,0
110108,410402,110105,0
110108,410402,110106,0
110108,410202,110301,0
110135,310101,110700,0
110106,410202,111601,0
